epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,2081.06,0.82129,0.8842,1.36416,0.76566,0.78374,0.80782,0.62677,0.84298,0.8978,1.4105,0.00294239,0.00294239,0.00294239
66,2112.47,0.8324,0.8928,1.37036,0.7583,0.77671,0.80237,0.62224,0.84189,0.89744,1.41279,0.00280275,0.00280275,0.00280275
67,2143.85,0.81587,0.87714,1.35643,0.78915,0.76667,0.80893,0.62749,0.83648,0.88094,1.41139,0.00266532,0.00266532,0.00266532
68,2175.18,0.80736,0.86419,1.3566,0.74251,0.78925,0.80053,0.62087,0.83104,0.88341,1.40634,0.00253024,0.00253024,0.00253024
69,2206.45,0.81743,0.85358,1.35638,0.7655,0.76649,0.8018,0.62043,0.83385,0.89375,1.40898,0.00239766,0.00239766,0.00239766
70,2238.01,0.79756,0.83828,1.34003,0.74581,0.80543,0.80998,0.63023,0.82667,0.87839,1.3954,0.00226769,0.00226769,0.00226769
71,2269.62,0.78775,0.82273,1.33196,0.74252,0.79823,0.81216,0.63593,0.82529,0.88313,1.39023,0.00214046,0.00214046,0.00214046
72,2301.58,0.79041,0.8259,1.33502,0.78859,0.80021,0.81797,0.64053,0.83363,0.86971,1.40797,0.00201611,0.00201611,0.00201611
73,2333.02,0.78393,0.82418,1.32663,0.74291,0.81061,0.8207,0.639,0.82345,0.87167,1.39415,0.00189475,0.00189475,0.00189475
74,2364.81,0.79397,0.82215,1.32709,0.79539,0.76979,0.81695,0.63676,0.82541,0.87064,1.40466,0.00177651,0.00177651,0.00177651
75,2396.3,0.78998,0.81799,1.33539,0.72733,0.8007,0.80571,0.63383,0.81955,0.88604,1.39411,0.00166149,0.00166149,0.00166149
76,2427.63,0.78823,0.80678,1.33463,0.76535,0.81318,0.82996,0.64966,0.81966,0.85662,1.38939,0.00154982,0.00154982,0.00154982
77,2459.28,0.7778,0.80708,1.32248,0.78446,0.81039,0.82369,0.64681,0.82411,0.8743,1.39532,0.00144161,0.00144161,0.00144161
78,2490.7,0.77852,0.80473,1.322,0.77675,0.77803,0.81107,0.63895,0.82105,0.8729,1.39264,0.00133695,0.00133695,0.00133695
79,2522.41,0.76304,0.7814,1.31194,0.79695,0.77953,0.82521,0.64399,0.82514,0.86969,1.40032,0.00123596,0.00123596,0.00123596
80,2553.98,0.76837,0.79143,1.31184,0.7983,0.76326,0.82129,0.63945,0.82418,0.87086,1.40087,0.00113873,0.00113873,0.00113873
81,2585.27,0.76406,0.7824,1.31748,0.7707,0.80475,0.82357,0.64458,0.82574,0.86016,1.39796,0.00104537,0.00104537,0.00104537
82,2616.86,0.76954,0.78041,1.3168,0.81286,0.77417,0.82838,0.64864,0.81875,0.84732,1.38581,0.000955951,0.000955951,0.000955951
83,2648.55,0.75931,0.7737,1.31033,0.78882,0.7757,0.81965,0.63919,0.82167,0.85203,1.39315,0.000870577,0.000870577,0.000870577
84,2680.4,0.75969,0.76032,1.3092,0.811,0.76359,0.82999,0.64866,0.8191,0.85464,1.38956,0.000789327,0.000789327,0.000789327
85,2712.16,0.76043,0.76806,1.31025,0.77394,0.78659,0.82171,0.64157,0.82127,0.87136,1.39045,0.000712282,0.000712282,0.000712282
86,2744.07,0.75737,0.77887,1.30776,0.79402,0.79207,0.82642,0.6481,0.82006,0.84068,1.38796,0.000639518,0.000639518,0.000639518
87,2775.78,0.75144,0.76282,1.30778,0.78994,0.79194,0.81617,0.64103,0.81897,0.86071,1.38859,0.000571106,0.000571106,0.000571106
88,2807.78,0.75535,0.75243,1.30428,0.80051,0.78754,0.82346,0.6467,0.81695,0.85479,1.38932,0.000507115,0.000507115,0.000507115
89,2839.37,0.76107,0.75906,1.30631,0.77595,0.79828,0.81679,0.63996,0.82349,0.86478,1.39112,0.000447606,0.000447606,0.000447606
90,2870.11,0.74269,0.74997,1.29411,0.78189,0.79979,0.82366,0.64601,0.81851,0.85357,1.38841,0.00039264,0.00039264,0.00039264
91,2899.44,0.64218,0.63654,1.21884,0.78223,0.79159,0.81817,0.63922,0.83059,0.87342,1.39802,0.00034227,0.00034227,0.00034227
92,2928.47,0.63976,0.60402,1.22174,0.77325,0.80761,0.82635,0.64641,0.8164,0.85947,1.39012,0.000296546,0.000296546,0.000296546
93,2957.28,0.63181,0.61594,1.2129,0.79652,0.78467,0.82377,0.64701,0.81826,0.85424,1.38944,0.000255513,0.000255513,0.000255513
94,2985.92,0.62268,0.58852,1.1992,0.79791,0.79146,0.82821,0.65229,0.81342,0.84943,1.38612,0.000219212,0.000219212,0.000219212
95,3014.97,0.63361,0.60828,1.21292,0.8009,0.78371,0.82525,0.64882,0.81871,0.85297,1.38955,0.000187678,0.000187678,0.000187678
96,3043.63,0.63008,0.59216,1.20285,0.79795,0.79031,0.82598,0.64941,0.81432,0.8467,1.38604,0.000160943,0.000160943,0.000160943
97,3072.41,0.62164,0.58392,1.19851,0.80288,0.78717,0.82331,0.64792,0.81081,0.84872,1.38386,0.000139032,0.000139032,0.000139032
98,3101.23,0.61774,0.59393,1.19427,0.81428,0.7723,0.82306,0.64809,0.81521,0.84867,1.38514,0.000121968,0.000121968,0.000121968
99,3130.27,0.62846,0.58104,1.19963,0.82013,0.7742,0.82657,0.65132,0.81263,0.84503,1.38395,0.000109768,0.000109768,0.000109768
100,3159.18,0.62618,0.59192,1.20879,0.80019,0.78108,0.82294,0.64823,0.81176,0.84387,1.38459,0.000102443,0.000102443,0.000102443
