epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,2023.59,0.83862,0.97239,1.34662,0.80653,0.76455,0.82284,0.63548,0.8482,0.91196,1.38529,0.00381899,0.00381899,0.00381899
60,2057.65,0.8361,0.94748,1.34696,0.73795,0.7594,0.80613,0.61585,0.86865,0.98533,1.4101,0.00366899,0.00366899,0.00366899
61,2091.68,0.84612,0.94276,1.35521,0.75253,0.73682,0.77893,0.60672,0.85608,0.95745,1.38611,0.00352037,0.00352037,0.00352037
62,2125.94,0.82852,0.91784,1.34553,0.75579,0.7784,0.79755,0.61744,0.84394,0.91914,1.38116,0.00337325,0.00337325,0.00337325
63,2160.26,0.83003,0.90356,1.3392,0.74656,0.78671,0.80505,0.62415,0.83968,0.9244,1.37417,0.00322778,0.00322778,0.00322778
64,2194.74,0.82849,0.90117,1.3406,0.73929,0.7926,0.79726,0.61703,0.8441,0.93248,1.38137,0.00308412,0.00308412,0.00308412
65,2228.78,0.8301,0.9098,1.33735,0.70784,0.80208,0.80367,0.62431,0.84822,0.92952,1.37393,0.00294239,0.00294239,0.00294239
66,2262.92,0.82803,0.91739,1.33829,0.73212,0.80532,0.79666,0.6158,0.85319,0.92879,1.38853,0.00280275,0.00280275,0.00280275
67,2297.03,0.82091,0.90344,1.33244,0.75952,0.78665,0.80904,0.62688,0.84961,0.9119,1.37942,0.00266532,0.00266532,0.00266532
68,2331.11,0.80914,0.87708,1.325,0.77532,0.75784,0.80664,0.62923,0.8505,0.91936,1.38206,0.00253024,0.00253024,0.00253024
69,2365.29,0.82252,0.87759,1.33111,0.75624,0.7938,0.81436,0.63455,0.84192,0.90572,1.38206,0.00239766,0.00239766,0.00239766
70,2399.37,0.80053,0.8607,1.31209,0.74023,0.78225,0.80568,0.62778,0.83842,0.90359,1.37351,0.00226769,0.00226769,0.00226769
71,2433.56,0.78716,0.84633,1.29848,0.78039,0.77458,0.81807,0.6372,0.83996,0.88879,1.37465,0.00214046,0.00214046,0.00214046
72,2467.7,0.79195,0.8432,1.30438,0.79831,0.7746,0.82083,0.63918,0.83443,0.87948,1.37368,0.00201611,0.00201611,0.00201611
73,2501.72,0.78238,0.82759,1.29475,0.80157,0.76898,0.82618,0.64499,0.83092,0.89191,1.37057,0.00189475,0.00189475,0.00189475
74,2535.76,0.79689,0.83057,1.30329,0.75234,0.79526,0.82077,0.63768,0.83461,0.87841,1.37215,0.00177651,0.00177651,0.00177651
75,2569.81,0.79382,0.82781,1.30671,0.76745,0.75436,0.81055,0.63217,0.8301,0.8958,1.36508,0.00166149,0.00166149,0.00166149
76,2604.02,0.78914,0.8194,1.30473,0.81743,0.75724,0.81834,0.63343,0.83928,0.88013,1.36683,0.00154982,0.00154982,0.00154982
77,2638,0.78152,0.82616,1.29415,0.71763,0.83391,0.82129,0.64082,0.828,0.88649,1.36594,0.00144161,0.00144161,0.00144161
78,2672.04,0.77673,0.81527,1.29093,0.78544,0.78191,0.827,0.64795,0.82241,0.8824,1.35968,0.00133695,0.00133695,0.00133695
79,2705.99,0.76639,0.7918,1.28508,0.79265,0.79897,0.82707,0.64799,0.82393,0.88423,1.36521,0.00123596,0.00123596,0.00123596
80,2739.99,0.76833,0.80586,1.28215,0.78645,0.78218,0.82347,0.6404,0.83597,0.89547,1.37813,0.00113873,0.00113873,0.00113873
81,2774.07,0.76508,0.8031,1.28824,0.78641,0.78278,0.8257,0.64141,0.83913,0.87129,1.37648,0.00104537,0.00104537,0.00104537
82,2808.11,0.7689,0.79058,1.28632,0.77646,0.79616,0.82782,0.64189,0.83242,0.86288,1.36618,0.000955951,0.000955951,0.000955951
83,2842.67,0.75976,0.78129,1.28177,0.82761,0.7596,0.82264,0.64263,0.83064,0.87165,1.36458,0.000870577,0.000870577,0.000870577
84,2876.75,0.75839,0.76741,1.2812,0.799,0.78028,0.82747,0.64985,0.82359,0.86816,1.36182,0.000789327,0.000789327,0.000789327
85,2911.06,0.76621,0.77506,1.28646,0.80607,0.75571,0.82295,0.64546,0.8323,0.88334,1.3659,0.000712282,0.000712282,0.000712282
86,2945.38,0.75601,0.78747,1.27852,0.79402,0.78875,0.82679,0.6464,0.82377,0.85028,1.35599,0.000639518,0.000639518,0.000639518
87,2979.46,0.74792,0.776,1.27403,0.77507,0.79179,0.82204,0.64596,0.82269,0.86046,1.35813,0.000571106,0.000571106,0.000571106
88,3013.59,0.75376,0.76268,1.27527,0.77847,0.77721,0.82739,0.64848,0.82637,0.85964,1.36437,0.000507115,0.000507115,0.000507115
89,3047.66,0.75609,0.76595,1.2753,0.75402,0.80098,0.8215,0.64232,0.82552,0.86247,1.3634,0.000447606,0.000447606,0.000447606
90,3081.88,0.74531,0.75718,1.26777,0.76788,0.80911,0.82758,0.64883,0.8238,0.85369,1.3631,0.00039264,0.00039264,0.00039264
91,3116.11,0.64328,0.64483,1.17133,0.78213,0.78143,0.82645,0.64811,0.83049,0.85468,1.36948,0.00034227,0.00034227,0.00034227
92,3150.01,0.63595,0.6088,1.16939,0.80014,0.78748,0.83322,0.65598,0.82217,0.85238,1.36345,0.000296546,0.000296546,0.000296546
93,3184.03,0.62754,0.61438,1.16259,0.79711,0.78717,0.82883,0.65231,0.8216,0.85314,1.3631,0.000255513,0.000255513,0.000255513
94,3217.88,0.62357,0.59109,1.16029,0.79789,0.78496,0.8306,0.6565,0.82156,0.85038,1.3638,0.000219212,0.000219212,0.000219212
95,3251.7,0.62993,0.60812,1.16517,0.78377,0.79052,0.8276,0.65515,0.8223,0.85464,1.35969,0.000187678,0.000187678,0.000187678
96,3285.75,0.62546,0.59017,1.15729,0.80136,0.78595,0.82738,0.65375,0.82158,0.85392,1.35765,0.000160943,0.000160943,0.000160943
97,3319.42,0.6204,0.58139,1.15115,0.79069,0.78011,0.82572,0.65362,0.82095,0.85679,1.36182,0.000139032,0.000139032,0.000139032
98,3353.1,0.61876,0.59759,1.15365,0.79179,0.78554,0.8273,0.65328,0.82069,0.85195,1.35854,0.000121968,0.000121968,0.000121968
99,3386.88,0.62576,0.57528,1.15744,0.78624,0.79611,0.82858,0.6555,0.81985,0.84666,1.35724,0.000109768,0.000109768,0.000109768
100,3420.63,0.6155,0.59604,1.15474,0.79622,0.78626,0.82735,0.65501,0.81916,0.84943,1.35905,0.000102443,0.000102443,0.000102443
